City,DATE,Population
Norfolk,1/1/1970,307.951
Norfolk,1/1/1971,302.1
Norfolk,1/1/1972,286.1
Norfolk,1/1/1973,287.8
Norfolk,1/1/1974,288.6
Norfolk,1/1/1975,285.1
Norfolk,1/1/1976,282.2
Norfolk,1/1/1977,281.3
Norfolk,1/1/1978,277.2
Norfolk,1/1/1979,269.3
Norfolk,1/1/1980,266.979
Norfolk,1/1/1981,273.916
Norfolk,1/1/1982,265.322
Norfolk,1/1/1983,274.258
Norfolk,1/1/1984,276.757
Norfolk,1/1/1985,266.585
Norfolk,1/1/1986,269.371
Norfolk,1/1/1987,275.951
Norfolk,1/1/1988,268.37
Norfolk,1/1/1989,263.064
Norfolk,1/1/1990,261.425
Norfolk,1/1/1991,255.351
Norfolk,1/1/1992,258.174
Norfolk,1/1/1993,255.514
Norfolk,1/1/1994,248.916
Norfolk,1/1/1995,244.623
Norfolk,1/1/1996,244.176
Norfolk,1/1/1997,239.095
Norfolk,1/1/1998,234.533
Norfolk,1/1/1999,233.497
Norfolk,1/1/2000,234.645
Norfolk,1/1/2001,235.673
Norfolk,1/1/2002,239.93
Norfolk,1/1/2003,236.804
Norfolk,1/1/2004,240.442
Norfolk,1/1/2005,236.231
Norfolk,1/1/2006,238.832
Norfolk,1/1/2007,235.853
Norfolk,1/1/2008,234.363
Norfolk,1/1/2009,233.419
Norfolk,1/1/2010,243.019
Norfolk,1/1/2011,243.701
Norfolk,1/1/2012,246.247
Norfolk,1/1/2013,245.598
Norfolk,1/1/2014,246.756
Norfolk,1/1/2015,246.667
Norfolk,1/1/2016,246.042
Norfolk,1/1/2017,244.908
Norfolk,1/1/2018,244.168
Norfolk,1/1/2019,243.581
Norfolk,1/1/2020,237.738
Norfolk,1/1/2021,235.025
Norfolk,1/1/2022,232.995
