Datetime,rainfall
5/1/2014,3.2
5/2/2014,8.88
5/3/2014,2.73
5/4/2014,5.32
5/5/2014,2.3
5/6/2014,1.46
5/7/2014,1.74
5/8/2014,6.64
5/9/2014,18
5/10/2014,1.09
5/11/2014,4.69
5/12/2014,1.5
5/13/2014,4.84
5/14/2014,0.3
5/15/2014,0.19
5/16/2014,0.3
5/17/2014,0.26
5/18/2014,0.26
5/19/2014,0.57
5/20/2014,1.01
5/21/2014,4.29
5/22/2014,0.75
5/23/2014,0.7
5/24/2014,0.5
5/25/2014,0.76
5/26/2014,0.83
5/27/2014,5.01
5/28/2014,7.51
5/29/2014,6.05
5/30/2014,2.1
5/31/2014,2.9
6/1/2014,2.15
6/2/2014,2.73
6/3/2014,5.13
6/4/2014,1.3
6/5/2014,0.92
6/6/2014,2.99
6/7/2014,2.51
6/8/2014,3.65
6/9/2014,1.84
6/10/2014,5.41
6/11/2014,2.12
6/12/2014,17.89
6/13/2014,10.83
6/14/2014,1.21
6/15/2014,0.53
6/16/2014,3.54
6/17/2014,1.37
6/18/2014,2.15
6/19/2014,2.01
6/20/2014,7.29
6/21/2014,5.84
6/22/2014,7.75
6/23/2014,1.49
6/24/2014,5.76
6/25/2014,0.68
6/26/2014,2.51
6/27/2014,1.12
6/28/2014,0.48
6/29/2014,13.35
6/30/2014,2.94
7/1/2014,3.11
7/2/2014,1
7/3/2014,0.66
7/4/2014,1.39
7/5/2014,0.36
7/6/2014,0.27
7/7/2014,0.31
7/8/2014,0.1
7/9/2014,0.25
7/10/2014,6.27
7/11/2014,0.86
7/12/2014,0.75
7/13/2014,0.63
7/14/2014,2.03
7/15/2014,3
7/16/2014,3.36
7/17/2014,1.32
7/18/2014,1.62
7/19/2014,0.86
7/20/2014,1.17
7/21/2014,2.04
7/22/2014,1.79
7/23/2014,2.1
7/24/2014,2.19
7/25/2014,1.39
7/26/2014,1.57
7/27/2014,1.61
7/28/2014,2.23
7/29/2014,3.27
7/30/2014,3.12
7/31/2014,
8/1/2014,0.94
8/2/2014,1.93
8/3/2014,1.78
8/4/2014,1.56
8/5/2014,1.32
8/6/2014,1.44
8/7/2014,10.62
8/8/2014,1.8
8/9/2014,1.42
8/10/2014,2.67
8/11/2014,4.09
8/12/2014,8.91
8/13/2014,6.04
8/14/2014,8.28
8/15/2014,4.95
8/16/2014,4.21
8/17/2014,3.07
8/18/2014,9.47
8/19/2014,21.57
8/20/2014,29.81
8/21/2014,1.64
8/22/2014,0.72
8/23/2014,14.47
8/24/2014,0.51
8/25/2014,7.64
8/26/2014,12.68
8/27/2014,14.38
8/28/2014,2.48
8/29/2014,3.55
8/30/2014,0.06
